Spring,aquifer,Cd_con,logged_cd,Type1industry,Type2industry,type3industry,type4industry,type5industry,type6industry,type7industry,type8industry,type9industry,Total_industry,MSWdumps,Multipledumps,Total_dump,burningdump ,NoBurningdump,Operational,Non_operational,Type1agri,Type2agri,type3agri,type4agri,type5agri,type6agri,type7agri,type8agri,type9agri,type10agri,type11agri,type12agri,type13agri,type14agri,type15agri,Total_agri,Mean_disindustry,Median_disindustry,Min_disindustry,Max_disindustry,Mean_yrs,Median_yrs,Min_yrs,Max_yrs,Mean_volume,Median_volume,Min_volume,Max_volume,Mean_area,Median_area,Min_area,Max_area,Mean_distdump,Median_distdump,Min_distdump,Max_distdump,Mean_areaagri,Median_areaagri,Min_areaagri,Max_areaagri,Mean_distagri,Median_distagri,Min_distagri,Max_distagri,Distance_Zouk,Slope,Precipitation,Traffic,SlopeInd
ras el haref,27b,1,0,1,0,0,0,1,4,3,1,0,10,10,2,12,1,11,10,2,27,7,0,8,746,342,65,397,5,0,37,81,19,2,45,1781,7468.1,6974.81,1717.59,10925.57,6.67,3,3,23,996.88,200,10,5100,1029.17,300,20,5100,8394.92,7768.15,3330.45,17487.87,22754.45,5146,236,1965571,10768.59,9246.53,322.76,24805.02,36.7,-0.92,1200,0,-0.9
Ain Jrain,28,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,2,1,1,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,16872.43,16872.43,16872.43,16872.43,10.5,10.5,3,18,1250,1250,1000,1500,875,875,750,1000,18669.39,18669.39,5962.25,31376.52,24059.8,4285.5,91,3957842,33258.78,36155.12,203.77,58814.8,30.7,-0.69,1500,0,-0.67
saoufar,28,1,0,0,2,0,0,0,0,1,0,0,3,1,3,4,1,3,2,2,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,28682.65,32551.45,20881.81,32614.69,10,9.5,3,18,1000,1000,500,1500,687.5,625,500,1000,15109.64,15910.13,1343.77,27274.53,24059.8,4285.5,91,3957842,17371.62,15777.75,187.85,44121.59,37.9,-0.51,1200,0,-0.51
Ain Kany,28,1,0,1,2,1,1,0,4,7,5,1,22,8,3,11,1,10,8,3,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,19187.69,16673.93,2183.85,51174.22,6.36,3,3,18,1257.27,1000,15,6750,919.54,500,15,4500,21752.46,19128.81,5825.24,45967.76,24059.8,4285.5,91,3957842,21437.08,15193.91,154.85,63097.15,81.9,-1.09,1200,0,-1.1
Chartoun,28,2.0195,0.7,2,3,1,1,0,4,7,6,1,25,8,3,11,1,10,8,3,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,11119.29,6667.18,5484.46,41435.91,6.36,3,3,18,1257.27,1000,15,6750,919.55,500,15,4500,14785.4,11851.6,3132.42,36695.97,24059.8,4285.5,91,3957842,16334.16,9214.03,318.44,53610.62,40.1,-0.66,1200,0,-0.71
Deir El Amar,28,2.1408,0.76,2,5,4,3,0,5,11,7,2,39,15,4,19,2,17,16,3,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,15015.66,13621.42,2680.51,47203.52,4.95,3,3,18,1992.11,1000,15,20000,1212.37,500,15,10000,14820.14,11893.85,1869.13,42669.57,24059.8,4285.5,91,3957842,19175.85,11590.9,260.99,59484.38,53.5,-1.38,1200,0,-1.25
Ain Anoub,28,2.2745,0.82,2,6,4,3,0,5,11,7,2,40,18,4,22,2,20,19,3,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,10492.07,6783.22,3284.86,39029.87,4.68,3,3,18,2241.36,980,15,20000,1567.95,500,15,10000,12149.32,9856.53,1738.79,35479.89,24059.8,4285.5,91,3957842,18309.75,12934.69,196.37,51570.04,29.3,-0.73,900,0,-0.74
Ain Abaal,28,4.7749,1.56,0,2,0,0,0,0,1,0,0,3,2,1,3,0,3,2,1,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,9490.73,6692.44,6525.12,15254.63,8,3,3,18,1333.33,1500,1000,1500,916.67,1000,750,1000,19767.3,26472.91,6163.24,26665.75,24059.8,4285.5,91,3957842,29787.97,30630.34,412.73,53283.17,19.8,-1.4,600,0,-1.34
Bmakine,28,6.6609,1.9,2,5,3,2,0,5,10,7,2,36,14,3,17,2,15,14,3,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,8568.96,3784.01,2142.29,36209.32,5.18,3,3,18,2151.76,1000,15,20000,1303.82,500,15,10000,12343.67,11750.18,2199.11,32361.96,24059.8,4285.5,91,3957842,17063.37,12346.91,225.35,48683.37,29.5,-0.67,1200,0,-0.66
Seraata / Ain Ghwaybe - Sabil Lasa,28,7.52595,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24059.8,4285.5,91,3957842,36030.93,40372.43,208,61461.92,36.4,-1.64,1500,0,-1.78
